Service_Name|messageName|messageDescription|direction
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|GetFeatureResponse|Response to a GetFeatureRequest. This operation provides the requested feature.|Out
CredentialingandRatingService|Credentialing and Rating|Reports current status of ATSSs Credentials and Rating|Out
CSS-WxWebCoverageService(WCS)|DescribeCoverageGetRequest| |In
CSS-WxWebCoverageService(WCS)|DescribeCoveragePostRequest|An instance of HTTP Request that passes a DescribeCoverage operation request with all mandatory and 0..n optional parameters.|In
CSS-WxWebCoverageService(WCS)|DescribeCoverageResponse| |Out
CSS-WxWebCoverageService(WCS)|GetCapabilitiesGetRequest|An instance of HTTP Request that passes a GetCapabilities operation request with all mandatory and 0..n optional parameters.|In
CSS-WxWebCoverageService(WCS)|GetCapabilitiesPostRequest|An instance of HTTP Request that passes a GetMetadata request with all mandatory and 0..n optional parameters.|In
CSS-WxWebCoverageService(WCS)|GetCapabilitiesResponse|An instance of HTTP Request that passes a GetMetadata request with all mandatory and 0..n optional parameters.|Out
CSS-WxWebCoverageService(WCS)|GetCoverageRequest|An instance of HTTP Response containing an XML representation of a |In
CSS-WxWebCoverageService(WCS)|GetCoverageResponse| metadata.|Out
CSS-WxWebCoverageService(WCS)|GetMetadataGetRequest|An instance of HTTP Request that passes a Renew operation request with all mandatory and 0..n optional parameters.|In
CSS-WxWebCoverageService(WCS)|GetMetadataPostRequest|An instance of HTTP Request that passes a Subscribe operation request with all mandatory and 0..n optional parameters.|In
CSS-WxWebCoverageService(WCS)|GetMetadataResponse|An instance of HTTP Request that passes a Subscribe operation request with all mandatory and 0..n optional parameters.|Out
CSS-WxWebCoverageService(WCS)|RenewGetRequest| |In
CSS-WxWebMappingTileService(WMTS)|FeatureInfoResource Request|Resource oriented architectural style provides standard endpoints from which a representation of each FeatureInfo resource can be obtained.  A client requests the representation of any offered FeatureInfo resource by performing a request to the address following the standard semantics of the transport protocol used for communication between the client and the server.  The CSS-Wx WMTS-I service provides a representation of the FeatureInfo resource in response to a request.|Out
CSS-WxWebMappingTileService(WMTS)|ServiceMetadata Resource Request|This section describes the ServiceMetadata document and the way in which it may be obtained using a resource oriented architectural style.|Out
CSS-WxWebMappingTileService(WMTS)|Tile Resource Request|The CSS-Wx WMTS-I servers using a resource oriented architectural style provide standard endpoints from which a representation of the ServiceMetadata resource can be obtained. The endpoints are specified in the ServiceMetadata document.|Out
CSS-WxWebMappingTileService(WMTS)|GetCapabilities Request|The client will request the representation of the ServiceMetadata resource by performing a standard request to the endpoint.  In response to a correct request, the server provides a representation of its ServiceMetadata document.  Incorrect requests shall be handled according to the standard semantics for errors for the transport protocol used for communication between the client and the server.|In
CSS-WxWebMappingTileService(WMTS)|GetFeatureInfo|Resource oriented architectural style provides standard endpoints from which a representation of each Tile resource can be obtained.  A client requests the representation of any offered Tile resource by performing a request to the address following the standard semantics of the transport protocol used for communication between the client and the server.  The CSS-Wx WMTS service provides a representation of the Tile resource in response to a request|In
CSS-WxWebMappingTileService(WMTS)|GetTile|The GetCapabilities operation request is as specified in Subclauses 7.2 and 7.3 of OWS Common [OGC 06-121r3] and follows the Tables 3 and 7 of OWS Common [OGC 06-121r3]. Parameters of the GetCapabilities request are described in Table 3 of OWS Common [OGC 06-121r3] with the restriction in the value of the ―service “parameter that is ―WMTS” as shown in Figure 5‑7, Figure 5‑8, and Figure 5‑9.|In
DataLinkDispatch(DLD)Service|AFN ACKNOWLEDGEMENT (FN_AK)|Uplink response sent by the ATSU receiving the AFN logon message to the aircraft providing the status of the AFN logon attempt.|Out
DataLinkDispatch(DLD)Service|AFN COMPLETE (FN_COMP)|Response sent by the aircraft to the ATSU initiating the FN_CAD providing the status of the AFN logon to the specified ATSU. |Out
DataLinkDispatch(DLD)Service|AFN CONTACT (FN_CON)|AFN logon message sent by the aircraft to the specified ATSU. |Out
DataLinkDispatch(DLD)Service|AFN CONTACT ADVISORY (FN_CAD)|Uplink message sent by an ATSU instructing an aircraft to send an FN_CON (AFN logon) to a specified ATSU. |Out
DataLinkDispatch(DLD)Service|AFN RESPONSE (FN_RESP)|Downlink response sent by the aircraft to the ATSU that initiated the FN_CAD indicating an intent to send an FN_CON to the specified ATSU.|Out
DataLinkDispatch(DLD)Service|CPDLC CONNECTION CONFIRM (CC1)|Downlink message to confirm a CPDLC request.|Out
DataLinkDispatch(DLD)Service|CPDLC CONNECTION REQUEST (CR1)|Uplink message to request a CPDLC connection.|Out
DataLinkDispatch(DLD)Service|CPDLC DISCONNECT REQUEST (DR1)|Downlink message to request a CPDLC disconnect.|Out
DataLinkDispatch(DLD)Service|CPDLC Downlink Message (CPDLC_DL)|Downlink FANS message|Out
DataLinkDispatch(DLD)Service|CPDLC Uplink Message (CPDLC_UL)|Uplink FANS message|Out
DataLinkDispatch(DLD)Service|Message Assurance (MAS)|Provided only in a response to a CPDLC uplink message referring to the message ID in the A620 header.|Out
DCNSStatusMessage|Active Links|Sent by the DCNS SOMS report the number of active links for each ground station.|Out
DCNSStatusMessage|Ground Station Status|Message Sample:|Out
DCNSStatusMessage|RMA Failure|<?xml version="1.0" encoding="UTF-8"?>|Out
DCNSStatusMessage|SDS Status|<DCNSMessage>|Out
DCNSStatusMessage|Service Volume Status|  <ID>|Out
DCNSStatusMessage|SOMS Status|</ID>|Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Adapted Route Status Reconstitution (DBRTRI/DBRTRI_AIXM)|The Adapted Route Status Reconstitution message is sent when a client first connects to a HADDS or when a client reconnects to a HADDS due to a disruption in communication.|Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Altimeter Setting (HA)|The payload described here is for DBRTRI. For DBRTRI_AIXM, please see the AIXM schema.|Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Altimeter Status Reconstitution (DBRTAI/DBRTAI_AIXM)|An Altimeter-Setting message is used to communicate altimeter reference data for a particular station, generally an airport. The altimeter reference data includes the data reporting time (35a), the reporting station (13.3), and the altimeter setting (34a).|Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Route Status (HR/HR_AIXM)||
	ERAM generates an HA when an altimeter setting is processed. ERAM receives most altimeter settings from the Weather Message Switching Center Replacement (WMSCR), but occasionally a value might be entered by a controller. Either source causes ERAM to generate an HA message; there is no way to distinguish the source.||Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Sector Assignment Reconstitution (DBRTSI/DBRTSI_AIXM)||
	ERAM at an ARTCC may receive altimeter data for many stations, both internal and external to that ARTCC. As a result, SFDPS may receive multiple copies of altimeter setting data for a particular station. For example, SFDPS could receive HA messages from ZBW, ZNY, ZDC, ZOB, ZTL, and ZLA for the airport DCA. In almost all cases, these messages are copies of the same data; that is, they have the same data reporting time and altimeter setting.||Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Sector Assignment Status (SH/SH_AIXM)|The Altimeter Status Reconstitution message is sent when a client first connects to a HADDS or when a client reconnects to a HADDS due to a disruption in communication.|Out
EnRouteAirspaceDataPublication(SFDPS)(Deprecated)|Special Activities Airspace (SU/SU_AIXM)|The payload described here is for DBRTAI. For DBRTAI_AIXM, please see the AIXM schema.|Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Adapted Route Status Reconstitution (DBRTRI/DBRTRI_AIXM)|The Adapted Route Status Reconstitution message is sent when a client first connects to a HADDS or when a client reconnects to a HADDS due to a disruption in communication.|Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Altimeter Setting (HA)|The payload described here is for DBRTRI. For DBRTRI_AIXM, please see the AIXM schema.|Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Altimeter Status Reconstitution (DBRTAI/DBRTAI_AIXM)|An Altimeter-Setting message is used to communicate altimeter reference data for a particular station, generally an airport. The altimeter reference data includes the data reporting time (35a), the reporting station (13.3), and the altimeter setting (34a).|Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Route Status (HR/HR_AIXM)||
	ERAM generates an HA when an altimeter setting is processed. ERAM receives most altimeter settings from the Weather Message Switching Center Replacement (WMSCR), but occasionally a value might be entered by a controller. Either source causes ERAM to generate an HA message; there is no way to distinguish the source.||Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Sector Assignment Reconstitution (DBRTSI/DBRTSI_AIXM)||
	ERAM at an ARTCC may receive altimeter data for many stations, both internal and external to that ARTCC. As a result, SFDPS may receive multiple copies of altimeter setting data for a particular station. For example, SFDPS could receive HA messages from ZBW, ZNY, ZDC, ZOB, ZTL, and ZLA for the airport DCA. In almost all cases, these messages are copies of the same data; that is, they have the same data reporting time and altimeter setting||Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Sector Assignment Status (SH/SH_AIXM)|The Altimeter Status Reconstitution message is sent when a client first connects to a HADDS or when a client reconnects to a HADDS due to a disruption in communication.|Out
EnRouteAirspaceDataPublication-v2.0(SFDPS)|Special Activities Airspace (SU/SU_AIXM)|The payload described here is for DBRTAI. For DBRTAI_AIXM, please see the AIXM schema.|Out
EnRouteAirspaceDataQuery(SFDPS)|FdpsSubscriptionRequestMessage|Subscription Request Message containing a list of subscription criteria that will be used by this service to establish a subscription.|In
EnRouteAirspaceDataQuery(SFDPS)|FdpsSubscriptionResponseMessage|Results of the subscription request processing. If no faults were generated, this response will contain the subscription id that the consumer can use to track the subscription.|Out
EnRouteAirspaceDataQuery-v2.0(SFDPS)|FdpsSubscriptionRequestMessage|Subscription Request Message containing a list of subscription criteria that will be used by this service to establish a subscription.|In
EnRouteAirspaceDataQuery-v2.0(SFDPS)|FdpsSubscriptionResponseMessage|Results of the subscription request processing. If no faults were generated, this response will contain the subscription id that the consumer can use to track the subscription.|Out
EnRouteFlightDataPublication(SFDPS)|Aircraft Identification Amendment Information (IH/IH_FIXM)|The Aircraft Identifier Amendment Message is sent to indicate a change to the flight identification field (flightId_02a) or assignment of computer identification (computerId_02d) for a flight.|Out
EnRouteFlightDataPublication(SFDPS)|ARTS Flow Control Track/Full Data Block Information (HZ/HZ_FIXM)|Refer to the NAS-JMSDD-4309-001 and SFDPSSchema_v1.2 for IH payload information.|Out
EnRouteFlightDataPublication(SFDPS)|Beacon Code Reassignment (BA/BA_FIXM)|Refer to FIXM 3.0 documentation at |Out
EnRouteFlightDataPublication(SFDPS)|Beacon Code Restricted (RE/RE_FIXM)| and to FIXM 3.0 and NAS Extension schemas at |Out
EnRouteFlightDataPublication(SFDPS)|Cancellation Information (CL/CL_FIXM)| and |Out
EnRouteFlightDataPublication(SFDPS)|Converted Route Information (HX/HX_FIXM)| for IH_FIXM payload information. |Out
EnRouteFlightDataPublication(SFDPS)|Departure Information (DH/DH_FIXM)|The ARTS TZ Flow Control Track/Full Data Block (FDB) Message provides a position update from an ARTS; this is a data pass-through.|Out
EnRouteFlightDataPublication(SFDPS)|Drop Track Information (RH/RH_FIXM)|Refer to the NAS-JMSDD-4309-001 and SFDPSSchema_v1.2 for HZ payload information.|Out
EnRouteFlightDataPublication(SFDPS)|Expected Departure Time Information (ET/ET_FIXM)|Refer to FIXM 3.0 documentation at |Out
EnRouteFlightDataPublication(SFDPS)|FDB Fourth Line Information (HF/HF_FIXM)| and to FIXM 3.0 and NAS Extension schemas at |Out
EnRouteFlightDataPublication(SFDPS)|Flight Amendment Information (AH/AH_FIXM)| and |Out
EnRouteFlightDataPublication(SFDPS)|Flight Arrival Information (HV/HV_FIXM)| for HZ_FIXM payload information. |Out
EnRouteFlightDataPublication(SFDPS)|Flight Plan Information (FH/FH_FIXM)|The Beacon Code Reassignment Message provides an updated beacon code for a flight plan when ERAM determines that an automatic beacon code reassignment occurred because the requested beacon code was already in use by another aircraft.|Out
EnRouteFlightDataPublication(SFDPS)|Flight Plan Reconstitutio (DBRTFPI/DBRTFPI_FIXM)|Refer to the NAS-JMSDD-4309-001 and SFDPSSchema_v1.2 for BA payload information.|Out
EnRouteFlightDataPublication(SFDPS)|Flight Plan Update Information (HU/HU_FIXM)|Refer to FIXM 3.0 documentation at |Out
EnRouteFlightDataPublication(SFDPS)|Handoff Status (OH/OH_FIXM)| and to FIXM 3.0 and NAS Extension schemas at |Out
EnRouteFlightDataPublication(SFDPS)|Hold Information (HH/HH_FIXM)| and |Out
EnRouteFlightDataPublication(SFDPS)|Inbound Point Out Information (PT/PT_FIXM)| for BA_FIXM payload information. |Out
EnRouteFlightDataPublication(SFDPS)|Interim Altitude Information (LH/LH_FIXM)|The Beacon Code Restricted Message provides an updated beacon code for a flight when ERAM determines that a beacon code reassignment occurred because the requested beacon code is adapted as restricted.|Out
EnRouteFlightDataPublication(SFDPS)|Point Out Information (HT/HT_FIXM)|Refer to the NAS-JMSDD-4309-001 and SFDPSSchema_v1.2 for RE payload information.|Out
EnRouteFlightDataPublication(SFDPS)|Position Update Information (HP/HP_FIXM)|Refer to FIXM 3.0 documentation at |Out
EnRouteFlightDataPublication(SFDPS)|Progress Report Information (PH/PH_FIXM)| and to FIXM 3.0 and NAS Extension schemas at |Out
EnRouteFlightDataPublication(SFDPS)|Tentative Aircraft Identification Amendment Information (NI/NI_FIXM)| and |Out
EnRouteFlightDataPublication(SFDPS)|Tentative Flight Plan Amendment Information (NU/NU_FIXM)| for RE_FIXM payload information. |Out
EnRouteFlightDataPublication(SFDPS)|Tentative Flight Plan Information (NP/NP_FIXM)|The Cancellation Message is sent when a flight plan record is canceled within a particular ARTCC’s ERAM. This means that no more data is sent from that center for that flight plan.|Out
EnRouteFlightDataPublication(SFDPS)|Tentative Flight Plan Removal (NL/NL_FIXM)|Refer to the NAS-JMSDD-4309-001 and SFDPSSchema_v1.2 for CL payload information.|Out
EnRouteFlightDataPublication(SFDPS)|Track Information (TH/TH_FIXM)|Refer to FIXM 3.0 documentation at |Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Aircraft Identification Amendment Information (IH/IH_FIXM)|The payload information shown here is for the IH message. Please refer to the FIXM schema for the  IH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|ARTS Flow Control Track/Full Data Block Information (HZ/HZ_FIXM)|The payload information shown here is for the HZ message. Please refer to the FIXM schema for the  HZ_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Batch Track Information (BATCH_TH/BATCH_TH_FIXM)|The Batch Track Message includes multiple individual Track Messages. The single Track message provides track data/target information, such as aircraft track/target position, altitude, and speed. It is normally sent every 12 seconds for an active flight.The Batch Track Message includes multiple individual Track Messages. The single Track message provides track data/target information, such as aircraft track/target position, altitude, and speed. It is normally sent every 12 seconds for an active flight.The Batch Track Message includes multiple individual Track Messages. The single Track message provides track data/target information, such as aircraft track/target position, altitude, and speed. It is normally sent every 12 seconds for an active flight.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Beacon Code Reassignment (BA/BA_FIXM)|The payload information shown here is for the BATCH_TH message. Please refer to the FIXM schema for the BATCH_TH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Beacon Code Restricted (RE/RE_FIXM)|The payload information shown here is for the BA message. Please refer to the FIXM schema for the  BA_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Cancellation Information (CL/CL_FIXM)|The payload information shown here is for the RE message. Please refer to the FIXM schema for the  RE_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Converted Route Information (HX/HX_FIXM)|The payload information shown here is for the CL message. Please refer to the FIXM schema for the  CL_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Departure Information (DH/DH_FIXM)|The payload information shown here is for the HX message. Please refer to the FIXM schema for the  HX_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Drop Track Information (RH/RH_FIXM)|The payload information shown here is for the DH message. Please refer to the FIXM schema for the  DH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Expected Departure Time Information (ET/ET_FIXM)|The payload information shown here is for the RH message. Please refer to the FIXM schema for the  RH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|FDB Fourth Line Information (HF/HF_FIXM)|The payload information shown here is for the ET message. Please refer to the FIXM schema for the  ET_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Flight Amendment Information (AH/AH_FIXM)|The payload information shown here is for the HF message. Please refer to the FIXM schema for the  HF_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Flight Arrival Information (HV/HV_FIXM)|The payload information shown here is for the AH message. Please refer to the FIXM schema for the  AH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Flight Plan Information (FH/FH_FIXM)|The payload information shown here is for the HV message. Please refer to the FIXM schema for the  HV_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Flight Plan Reconstitutio (DBRTFPI/DBRTFPI_FIXM)|The payload information shown here is for the FH message. Please refer to the FIXM schema for the  FH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Flight Plan Update Information (HU/HU_FIXM)|The payload information shown here is for the DBRTFPI message. Please refer to the FIXM schema for the  DBRTFPI_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Handoff Status (OH/OH_FIXM)|The payload information shown here is for the HU message. Please refer to the FIXM schema for the  HU_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Hold Information (HH/HH_FIXM)|The payload information shown here is for the OH message. Please refer to the FIXM schema for the  OH_FIXM payload.|Out
EnRouteFlightDataPublication-v2.0(SFDPS)|Inbound Point Out Information (PT/PT_FIXM)|The payload information shown here is for the HH message. Please refer to the FIXM schema for the  HH_FIXM payload.|Out
